1,JD,Magnitude
2,2402240.0,3.65
3,2402243.0,4.05
4,2402244.0,4.15
5,2402257.0,3.63
6,2402260.0,4.25
7,2402265.0,4.1
8,2402266.0,4.15
9,2402278.0,3.55
10,2402280.0,4.03
11,2402283.0,3.7
12,2402285.0,4.03
13,2402290.0,4.46
14,2402300.0,3.4
15,2402305.0,3.4
16,2402306.0,3.45
17,2402315.0,3.66
20,2402317.0,3.45
28,2402321.0,3.5
29,2402323.0,3.9
32,2402325.0,4.07
33,2402330.0,4.15
36,2402335.0,3.8
45,2402340.0,4.1
46,2402341.0,4.1
47,2402342.0,3.43
48,2402343.0,3.4
49,2402344.0,3.7
52,2402346.0,4.2
53,2402347.0,3.66
57,2402349.0,3.75
58,2402350.0,3.9
59,2402351.0,4.1
60,2402353.0,4.1
61,2402354.0,3.6
64,2402357.0,3.96
65,2402358.0,3.55
70,2402364.0,3.54
71,2402371.0,3.62
72,2402374.0,3.5
73,2402377.0,4.0
76,2402383.0,4.08
79,2402386.0,3.55
80,2402396.0,3.35
81,2402397.0,3.37
82,2402399.0,4.02
83,2402402.0,3.55
84,2402404.0,4.1
85,2402406.0,3.7
86,2402407.0,3.57
87,2402408.0,3.65
88,2402410.0,4.02
91,2402412.0,3.5
92,2402415.0,4.03
93,2402416.0,4.08
94,2402420.0,4.0
95,2402421.0,4.08
96,2402422.0,3.9
97,2402423.0,3.58
98,2402424.0,3.7
99,2402425.0,3.95
100,2402428.0,3.48
101,2402431.0,4.03
102,2402434.0,3.6
103,2402438.0,3.96
104,2402440.0,3.7
105,2402445.0,3.63
106,2402447.0,4.0
107,2402448.0,4.06
110,2402451.0,3.8
111,2402454.0,4.04
112,2402458.0,4.05
113,2402468.0,4.02
114,2402469.0,4.03
115,2402470.0,3.88
116,2402473.0,3.92
117,2402486.0,4.1
118,2402487.0,3.45
119,2402488.0,3.62
120,2402489.0,3.85
121,2402492.0,3.65
122,2402494.0,3.6
123,2402495.0,3.9
124,2402496.0,4.03
125,2402497.0,3.92
126,2402500.0,3.8
127,2402501.0,4.1
128,2402502.0,4.0
129,2402504.0,3.58
130,2402517.0,4.08
131,2402523.0,4.1
132,2402526.0,3.7
133,2402554.0,3.9
