1,JD,Magnitude
0,2402348.0,3.62
1,2402378.0,3.7
4,2402386.0,4.18
5,2402396.0,3.96
6,2402399.0,3.97
7,2402402.0,4.4
8,2402406.0,3.6
9,2402407.0,3.8
10,2402408.0,4.24
11,2402410.0,4.3
14,2402412.0,3.57
15,2402415.0,4.12
16,2402416.0,4.25
17,2402420.0,3.82
18,2402421.0,3.65
19,2402422.0,3.85
20,2402423.0,4.35
21,2402424.0,4.4
22,2402425.0,3.95
23,2402428.0,3.84
24,2402430.0,4.22
25,2402431.0,4.38
26,2402434.0,3.6
29,2402440.0,3.52
30,2402445.0,4.45
31,2402447.0,3.6
32,2402448.0,3.57
35,2402451.0,4.2
36,2402458.0,4.4
37,2402468.0,3.87
38,2402469.0,3.53
39,2402473.0,4.38
40,2402486.0,3.8
41,2402487.0,4.2
42,2402488.0,4.25
43,2402492.0,3.8
44,2402494.0,3.95
45,2402495.0,4.3
46,2402496.0,4.4
47,2402497.0,3.85
48,2402500.0,3.65
49,2402501.0,3.86
50,2402502.0,4.35
51,2402504.0,3.65
52,2402517.0,4.35
53,2402523.0,4.3
54,2402526.0,3.66
55,2402554.0,3.95
56,2402584.0,3.55
57,2402586.0,3.71
58,2402593.0,3.83
59,2402594.0,3.93
60,2402717.0,4.25
61,2402718.0,4.23
62,2402719.0,4.4
63,2402720.0,3.8
64,2402725.0,4.2
65,2402729.0,3.6
66,2402739.0,4.4
67,2402740.0,4.3
68,2402742.0,3.85
71,2402746.0,3.95
72,2402748.0,4.0
73,2402755.0,4.18
74,2402756.0,3.5
75,2402759.0,4.12
76,2402760.0,4.25
77,2402762.0,3.98
78,2402763.0,3.95
79,2402764.0,3.65
80,2402773.0,3.9
81,2402774.0,4.2
82,2402790.0,4.36
83,2402794.0,3.8
84,2402808.0,3.76
85,2402837.0,4.12
86,2402839.0,4.4
87,2402873.0,3.6
88,2402874.0,3.9
89,2402875.0,4.12
90,2402876.0,4.3
91,2402877.0,3.95
92,2402878.0,3.55
93,2402879.0,3.65
94,2402881.0,3.95
95,2402882.0,4.35
96,2402883.0,4.4
97,2402885.0,3.6
98,2402887.0,3.7
99,2402901.0,3.7
100,2402916.0,3.62
101,2402934.0,3.95
102,2402935.0,3.65
103,2402937.0,3.55
104,2402944.0,3.8
105,2403070.0,4.25
106,2403075.0,3.65
107,2403098.0,4.08
108,2403101.0,3.55
109,2403112.0,4.35
110,2403115.0,3.56
111,2403116.0,3.65
112,2403118.0,4.2
113,2403119.0,4.37
114,2403120.0,4.38
115,2403124.0,3.9
116,2403127.0,4.25
117,2403128.0,4.27
118,2403130.0,3.6
121,2403146.0,3.8
122,2403147.0,4.25
123,2403148.0,4.38
124,2403151.0,3.6
125,2403155.0,4.38
126,2403156.0,4.38
127,2403159.0,3.85
128,2403161.0,4.12
129,2403167.0,3.63
130,2403168.0,4.18
131,2403169.0,4.25
132,2403170.0,4.4
133,2403174.0,3.68
134,2403176.0,4.13
135,2403189.0,3.66
136,2403190.0,4.1
137,2403192.0,4.3
138,2403193.0,4.15
139,2403213.0,4.37
140,2403219.0,4.05
141,2403442.0,4.1
142,2403453.0,3.53
143,2403456.0,4.06
144,2403457.0,4.18
145,2403462.0,3.7
146,2403466.0,4.1
147,2403469.0,3.6
148,2403470.0,3.7
149,2403472.0,4.15
152,2403475.0,3.6
153,2403480.0,4.35
154,2403496.0,3.6
155,2403497.0,3.65
156,2403498.0,3.77
157,2403499.0,4.15
158,2403500.0,4.25
159,2403502.0,3.65
160,2403504.0,3.6
161,2403505.0,3.95
162,2403508.0,4.38
163,2403509.0,3.55
164,2403525.0,3.6
165,2403534.0,4.0
166,2403538.0,3.45
167,2403539.0,3.55
168,2403540.0,3.7
169,2403851.0,4.07
170,2403856.0,3.85
171,2403857.0,4.1
172,2403869.0,3.76
175,2403876.0,3.6
176,2403877.0,3.63
177,2403878.0,3.8
178,2403882.0,3.6
179,2403883.0,3.6
180,2403884.0,3.88
181,2403889.0,3.6
182,2403890.0,3.55
183,2403891.0,3.6
184,2403893.0,4.15
185,2403897.0,3.55
186,2403900.0,4.15
187,2403901.0,4.1
188,2403902.0,4.3
189,2403908.0,4.35
190,2403909.0,4.35
191,2403911.0,3.6
192,2403914.0,3.9
193,2403917.0,4.38
194,2403921.0,3.6
195,2403923.0,4.37
196,2403934.0,3.65
197,2403935.0,3.8
