JD,Magnitude
2402239.244,4.25
2402239.294,4.25
2402240.244,3.65
2402243.364,4.05
2402244.264,4.15
2402257.264,3.63
2402260.334,4.25
2402265.274,4.1
2402266.304,4.15
2402278.294,3.55
2402280.284,4.03
2402283.314,3.7
2402285.264,4.03
2402289.564,4.46
2402299.544,3.4
2402305.334,3.4
2402305.554,3.45
2402315.334,3.66
2402315.504,3.6
2402316.314,3.6
2402316.534,3.45
2402317.514,3.9
2402318.294,4.1
2402318.514,3.95
2402319.294,4.25
2402319.364,4.15
2402319.504,4.2
2402320.354,3.9
2402321.304,3.5
2402323.464,3.9
2402323.514,3.85
2402324.354,4.07
2402324.504,4.07
2402330.344,4.15
2402330.534,4.12
2402331.474,3.65
2402334.524,3.8
2402335.504,3.96
2402336.314,4.05
2402336.464,3.98
2402336.564,3.96
2402337.314,3.5
2402337.444,3.4
2402338.344,3.6
2402338.454,3.6
2402340.334,4.1
2402340.524,4.1
2402342.384,3.43
2402342.514,3.4
2402344.464,3.7
2402345.314,4.05
2402345.444,4.0
2402346.344,4.2
2402347.464,3.66
2402347.514,3.65
2402348.394,3.55
2402348.474,3.55
2402349.444,3.75
2402350.414,3.9
2402351.414,4.1
2402352.504,4.1
2402354.454,3.6
2402356.414,4.08
2402356.484,4.08
2402357.384,3.96
2402358.374,3.55
2402358.504,3.5
2402359.374,3.65
2402360.394,3.73
2402360.474,3.8
2402364.414,3.54
2402371.394,3.62
2402374.414,3.5
2402377.404,4.0
2402377.514,4.02
2402378.414,4.06
2402383.444,4.08
2402383.514,4.07
2402384.404,4.0
2402386.424,3.55
2402396.464,3.35
2402396.514,3.37
2402399.404,4.02
2402402.444,3.55
2402404.404,4.1
2402406.444,3.7
2402407.454,3.57
2402408.404,3.65
2402410.474,4.02
2402411.414,3.96
2402411.494,3.92
2402412.414,3.5
2402415.494,4.03
2402416.464,4.08
2402420.414,4.0
2402421.474,4.08
2402422.414,3.9
2402423.434,3.58
2402424.404,3.7
2402425.404,3.95
2402428.434,3.48
2402431.444,4.03
2402434.414,3.6
2402438.424,3.96
2402440.424,3.7
2402445.474,3.63
2402447.474,4.0
2402448.424,4.06
2402450.444,3.6
2402450.484,3.6
2402451.404,3.8
2402454.424,4.04
2402458.394,4.05
2402468.414,4.02
2402469.414,4.03
2402470.424,3.88
2402473.394,3.92
2402486.384,4.1
2402487.424,3.45
2402488.334,3.62
2402489.394,3.85
2402492.414,3.65
2402494.314,3.6
2402495.354,3.9
2402496.384,4.03
2402497.394,3.92
2402500.364,3.8
2402501.414,4.1
2402502.294,4.0
2402504.324,3.58
2402517.314,4.08
2402523.314,4.1
2402526.334,3.7
2402554.284,3.9
2402564.394,3.88
2402584.224,3.48
2402586.224,3.8
2402593.224,4.3
2402593.444,4.2
2402594.204,3.88
2402606.264,3.63
2402614.274,4.11
2402620.264,4.25
2402620.424,4.25
2402621.324,3.55
2402623.284,3.7
2402625.334,4.1
2402626.274,4.0
2402628.294,3.68
2402630.244,4.15
2402632.284,3.45
2402641.324,4.15
2402645.334,3.72
2402645.374,3.8
2402646.504,4.05
2402646.554,4.0
2402647.284,4.2
2402652.464,4.1
2402657.504,4.0
2402658.274,4.1
2402659.324,3.45
2402663.314,4.1
2402669.294,3.7
2402675.294,3.6
2402675.534,3.6
2402676.354,3.63
2402678.524,4.0
2402679.304,4.1
2402679.534,4.05
2402681.494,3.65
2402683.314,3.93
2402684.304,4.1
2402693.454,3.85
2402697.374,3.68
2402699.324,3.92
2402699.464,3.97
2402700.394,4.07
2402702.484,3.55
2402705.524,3.75
2402707.344,3.55
2402707.454,3.5
2402710.434,4.02
2402711.434,3.6
2402712.494,3.6
2402713.364,3.6
2402713.624,4.0
2402715.364,4.03
2402716.544,3.7
2402717.454,3.48
2402718.524,3.7
2402719.564,3.67
2402724.504,3.67
2402727.424,4.1
2402728.394,3.9
2402728.514,3.8
2402729.394,3.48
2402730.494,3.68
2402732.494,4.0
2402739.484,3.56
2402740.404,3.5
2402740.474,3.57
2402742.414,4.0
2402743.404,4.02
2402744.424,3.8
2402746.414,3.65
2402746.494,3.67
2402748.504,4.0
2402754.444,4.08
2402755.484,3.4
2402756.434,3.64
2402759.474,4.0
2402760.434,3.84
2402761.414,3.5
2402762.464,3.68
2402764.414,4.0
2402773.414,3.6
2402774.424,3.92
2402790.494,3.93
2402794.484,3.63
2402808.444,3.8
2402832.424,3.66
2402837.394,3.7
2402839.404,3.96
2402873.344,3.9
2402874.334,3.5
2402875.364,3.7
2402876.364,3.9
2402877.494,4.06
2402878.364,3.92
2402879.364,3.58
2402881.334,3.9
2402882.344,4.0
2402883.314,4.05
2402885.304,3.6
2402887.294,3.9
2402901.324,3.5
2402916.344,3.9
2402923.364,3.72
2402934.314,3.7
2402935.284,3.96
2402937.314,4.13
2402944.274,3.65
2402954.454,3.5
2402955.464,3.7
2402967.264,3.95
2402972.404,3.9
2402999.284,4.08
2403001.304,4.2
2403001.494,4.2
2403004.254,3.7
2403004.664,3.85
2403005.394,4.1
2403007.264,4.1
2403008.384,3.6
2403011.514,4.0
2403012.274,4.18
2403013.264,3.55
2403024.534,3.6
2403029.544,3.55
2403030.384,3.65
2403030.634,3.65
2403039.304,4.1
2403042.524,3.65
2403054.494,4.0
2403057.484,3.95
2403057.544,3.75
2403069.524,3.95
2403074.434,3.72
2403074.634,3.8
2403083.434,3.5
2403090.424,3.73
2403091.404,4.0
2403092.424,4.08
2403093.404,3.75
2403093.454,3.67
2403094.384,3.6
2403095.414,3.66
2403095.554,3.7
2403096.474,4.04
2403097.424,4.1
2403098.494,3.95
2403099.394,3.47
2403100.434,3.65
2403112.474,3.8
2403115.424,3.4
2403115.494,3.43
2403116.464,3.64
2403117.464,3.84
2403118.474,3.96
2403119.424,4.0
2403120.454,3.62
2403121.404,3.5
2403122.434,3.7
2403124.464,4.03
2403127.474,3.65
2403128.444,3.7
2403129.394,4.05
2403144.524,3.85
2403145.464,3.93
2403146.434,3.98
2403147.464,3.58
2403148.454,3.63
2403151.464,4.04
2403155.444,3.9
2403159.444,3.65
2403161.444,4.0
2403167.444,4.05
2403168.444,3.65
2403169.454,3.55
2403170.474,3.7
2403172.464,4.05
2403174.384,3.4
2403176.434,3.73
2403189.434,4.1
2403190.404,3.6
2403191.404,3.66
2403192.404,3.8
2403193.404,4.0
2403213.404,3.68
2403219.394,3.75
2403372.284,3.7
2403379.564,3.97
2403380.294,4.0
2403381.284,4.15
2403382.304,4.2
2403391.294,4.0
2403393.314,4.06
2403395.274,3.7
2403398.314,4.1
2403404.574,3.63
2403405.314,3.6
2403406.344,3.7
2403408.574,4.0
2403412.534,3.98
2403417.304,3.7
2403417.514,3.7
2403420.374,3.96
2403420.564,3.8
2403422.514,3.7
2403425.504,3.84
2403426.314,3.56
2403427.324,3.7
2403441.614,4.0
2403452.564,3.9
2403455.504,3.67
2403456.444,3.8
2403456.584,3.85
2403457.394,4.0
2403461.464,3.85
2403465.534,3.7
2403468.544,3.95
2403469.404,3.6
2403470.464,3.6
2403471.504,3.84
2403472.534,3.97
2403473.484,4.06
2403475.504,3.55
2403479.474,3.9
2403480.414,3.45
2403496.454,3.57
2403497.444,3.7
2403498.434,3.9
2403499.444,4.0
2403500.484,4.05
2403502.484,3.7
2403503.524,3.9
2403505.494,4.05
2403509.494,4.0
2403525.404,3.95
2403534.444,3.5
2403538.434,3.93
2403539.474,3.58
2403540.424,3.7
2403712.254,4.25
2403712.264,3.8
2403716.274,3.58
2403717.284,3.7
2403719.264,4.12
2403721.274,3.65
2403722.244,3.63
2403723.244,3.9
2403728.304,3.68
2403734.294,4.07
2403736.294,4.13
2403763.564,4.0
2403764.424,3.8
2403789.454,3.9
2403792.374,3.6
2403798.494,3.75
2403800.474,4.06
2403823.474,3.6
2403830.474,3.7
2403835.434,3.6
2403850.544,3.4
2403856.494,3.5
2403857.424,3.7
2403858.454,3.9
2403869.464,4.0
2403874.504,4.05
2403875.434,4.06
2403876.454,4.0
2403877.444,3.37
2403878.474,3.66
2403882.494,3.5
2403883.464,3.65
2403884.424,3.9
2403889.464,3.7
2403890.444,3.9
2403891.414,4.0
2403893.464,3.65
2403897.464,4.05
2403898.434,3.44
2403900.414,3.94
2403901.434,4.04
2403902.394,4.1
2403904.474,3.46
2403909.444,3.43
2403911.424,3.7
2403914.384,3.7
2403917.434,4.0
2403923.374,3.93
2403928.364,4.08
2403929.494,4.08
2403930.394,3.93
2403931.494,3.5
2403934.404,4.0
2403935.364,4.04
2403936.384,3.4
2403937.374,3.65
2403938.404,3.87
2403939.424,3.96
2403941.404,3.55
2403942.344,3.65
2403944.464,4.0
2403945.444,4.08
2403948.404,3.7
2403949.384,3.9
2403967.364,4.07
2403969.344,3.6
2403970.474,3.83
2403972.364,4.05
2403977.384,4.06
2403978.334,4.0
2403981.314,3.9
2403982.404,4.1
2403983.334,3.96
2403987.294,3.9
2403989.464,3.95
2403998.384,4.05
2404000.554,3.57
2404008.464,4.02
2404009.424,4.2
2404012.284,3.7
2404014.274,4.0
2404019.494,4.07
2404023.494,3.68
2404025.244,4.0
2404033.444,3.63
2404035.524,4.1
2404037.304,4.15
2404039.294,3.65
2404040.284,3.9
2404042.234,4.15
2404045.284,3.93
2404047.454,4.15
2404049.234,3.7
2404051.364,4.02
2404053.274,4.15
2404062.214,4.05
2404064.244,4.04
2404088.344,3.75
2404090.454,4.15
2404091.254,4.04
2404092.234,3.5
2404093.264,3.68
2404094.254,4.02
2404096.434,4.04
2404097.244,3.6
2404100.264,4.1
2404101.254,4.2
2404102.294,3.8
2404116.314,4.1
2404119.274,3.7
2404121.264,4.02
2404122.344,4.1
2404125.344,3.5
2404129.324,3.9
2404136.344,3.65
2404145.344,3.64
2404147.294,4.0
2404156.494,3.43
2404157.494,3.67
2404158.514,3.9
2404170.514,4.0
