JD,Magnitude
2402347.544,3.62
2402377.504,3.7
2402383.514,3.55
2402384.464,3.57
2402386.464,4.18
2402396.474,3.96
2402399.444,3.97
2402402.444,4.4
2402406.444,3.6
2402407.454,3.8
2402408.444,4.24
2402410.484,4.3
2402411.414,3.6
2402411.494,3.59
2402412.414,3.57
2402415.494,4.12
2402416.464,4.25
2402420.424,3.82
2402421.484,3.65
2402422.424,3.85
2402423.434,4.35
2402424.404,4.4
2402425.394,3.95
2402428.444,3.84
2402430.444,4.22
2402431.444,4.38
2402434.414,3.6
2402438.434,4.47
2402438.454,4.45
2402440.434,3.52
2402445.474,4.45
2402447.474,3.6
2402448.434,3.57
2402450.444,3.9
2402450.484,3.94
2402451.414,4.2
2402458.394,4.4
2402468.424,3.87
2402469.414,3.53
2402473.394,4.38
2402486.394,3.8
2402487.434,4.2
2402488.334,4.25
2402492.424,3.8
2402494.324,3.95
2402495.364,4.3
2402496.374,4.4
2402497.394,3.85
2402500.364,3.65
2402501.424,3.86
2402502.294,4.35
2402504.324,3.65
2402517.314,4.35
2402523.324,4.3
2402526.324,3.66
2402554.284,3.95
2402584.224,3.55
2402586.224,3.71
2402593.214,3.83
2402594.214,3.93
2402716.544,4.25
2402717.544,4.23
2402718.564,4.4
2402719.574,3.8
2402724.534,4.2
2402728.514,3.6
2402739.494,4.4
2402740.494,4.3
2402742.484,3.85
2402743.554,3.65
2402744.494,3.85
2402746.494,3.95
2402748.494,4.0
2402755.484,4.18
2402756.464,3.5
2402759.494,4.12
2402760.494,4.25
2402762.464,3.98
2402762.514,3.95
2402764.484,3.65
2402773.464,3.9
2402774.414,4.2
2402790.484,4.36
2402794.494,3.8
2402808.444,3.76
2402837.394,4.12
2402839.394,4.4
2402873.344,3.6
2402874.334,3.9
2402875.374,4.12
2402876.364,4.3
2402877.484,3.95
2402878.364,3.55
2402879.374,3.65
2402881.334,3.95
2402882.364,4.35
2402883.314,4.4
2402885.294,3.6
2402887.294,3.7
2402901.324,3.7
2402916.344,3.62
2402934.254,3.95
2402935.264,3.65
2402937.314,3.55
2402944.264,3.8
2403069.604,4.25
2403074.624,3.65
2403097.544,4.08
2403100.524,3.55
2403112.484,4.35
2403115.494,3.56
2403116.464,3.65
2403118.484,4.2
2403119.474,4.37
2403120.464,4.38
2403124.474,3.9
2403127.464,4.25
2403128.454,4.27
2403129.504,3.6
2403144.514,3.6
2403145.464,3.58
2403146.464,3.8
2403147.454,4.25
2403148.464,4.38
2403151.464,3.6
2403155.444,4.38
2403156.404,4.38
2403159.454,3.85
2403161.454,4.12
2403167.434,3.63
2403168.474,4.18
2403169.444,4.25
2403170.464,4.4
2403174.384,3.68
2403176.444,4.13
2403189.424,3.66
2403190.404,4.1
2403192.414,4.3
2403193.404,4.15
2403213.394,4.37
2403219.394,4.05
2403441.614,4.1
2403452.574,3.53
